RUID,preferred_hall_ids,preferred_residence_type,is_single_preferred,is_private_bathroom_preferred,laundry_availibility,preferred_price_range,max_price
567460687,['BH' 'BS' 'CS'],Suite,1,1,1,4000-6000,7000
418206799,['NCA' 'MH' 'SA'],Suite,1,1,1,6000-8000,9000
408771254,['NCA' 'BS' 'MS'],Suite,1,1,1,6000-8000,9000
657824192,['MS' 'NCA' 'BS'],Traditional Residence Hall,1,1,1,6000-8000,9000
643460572,['NCA' 'AH' 'BS'],Apartment,1,1,1,8000-11000,12000
337211257,['MZH' 'MRS' 'NCA'],Suite,1,1,1,8000-11000,12000
730538857,['NCA' 'BS' 'JS'],Traditional Residence Hall,1,1,1,4000-6000,7000
454115642,['RA' 'SA' 'BS'],Apartment,1,1,1,4000-6000,7000
853584029,['MZH' 'WS' 'MH'],Suite,1,1,1,8000-11000,12000
702983217,['WS' 'BS' 'MZH'],Apartment,1,0,1,8000-11000,12000
872170431,['AH' 'NCA' 'BH'],Suite,1,1,1,4000-6000,7000
139272904,['TS' 'SA' 'NCA'],Traditional Residence Hall,1,0,1,8000-11000,12000
489498604,['TS' 'BS' 'NCA'],Traditional Residence Hall,1,1,1,6000-8000,9000
345442324,['MS' 'NCA' 'RA'],Apartment,1,1,1,8000-11000,12000
957289830,['MS' 'WS' 'BS'],Suite,1,0,1,8000-11000,12000
733508541,['AH' 'MS' 'TS'],Apartment,1,1,0,4000-6000,7000
199868887,['NCA' 'BS' 'RA'],Suite,1,1,1,8000-11000,12000
852691948,['MRS' 'SA' 'NCA'],Apartment,1,1,1,8000-11000,12000
303190327,['NCA' 'JS' 'BS'],Suite,1,1,1,8000-11000,12000
462179043,['SA' 'TS' 'MRS'],Apartment,1,1,1,8000-11000,12000
216581095,['CS' 'TS' 'BS'],Suite,1,1,1,8000-11000,12000
678558061,['WS' 'NCA' 'MS'],Traditional Residence Hall,1,0,1,8000-11000,12000
444418662,['BS' 'SA' 'NCA'],Apartment,1,1,1,4000-6000,7000
453606460,['NCA' 'SA' 'JS'],Suite,1,1,1,6000-8000,9000
862528167,['BS' 'JS' 'SA'],Traditional Residence Hall,1,1,0,8000-11000,12000
345144211,['RA' 'BS' 'WS'],Traditional Residence Hall,1,1,1,8000-11000,12000
434159715,['RA' 'JS' 'WS'],Apartment,1,1,1,8000-11000,12000
374280529,['AH' 'SA' 'MH'],Apartment,1,1,1,4000-6000,7000
958222449,['NCA' 'RA' 'TS'],Suite,1,1,1,6000-8000,9000
855256342,['NCA' 'BH' 'RA'],Apartment,1,1,1,8000-11000,12000
813687794,['TS' 'BS' 'WS'],Suite,1,1,1,6000-8000,9000
333868899,['BS' 'MZH' 'SA'],Suite,1,1,1,8000-11000,12000
585480325,['CS' 'MH' 'BH'],Traditional Residence Hall,1,0,1,4000-6000,7000
281818508,['BS' 'NCA' 'WS'],Suite,1,1,1,8000-11000,12000
491878155,['MH' 'NCA' 'BS'],Suite,1,1,1,8000-11000,12000
778621319,['MZH' 'BH' 'RA'],Apartment,1,1,1,4000-6000,7000
823713774,['RA' 'MS' 'WS'],Suite,1,0,1,8000-11000,12000
901589478,['SA' 'BS' 'NCA'],Suite,1,1,1,6000-8000,9000
472418151,['BS' 'MH' 'RA'],Apartment,1,0,1,4000-6000,7000
145576593,['TS' 'MS' 'MRS'],Apartment,1,0,1,8000-11000,12000
797706626,['WS' 'BH' 'MZH'],Apartment,1,1,1,4000-6000,7000
778689026,['AH' 'NCA' 'MRS'],Suite,1,1,1,8000-11000,12000
683935822,['NCA' 'BH' 'RA'],Suite,1,1,1,6000-8000,9000
277610785,['RA' 'WS' 'NCA'],Apartment,1,1,1,4000-6000,7000
998413776,['MZH' 'AH' 'MH'],Traditional Residence Hall,1,1,1,6000-8000,9000
331441833,['RA' 'MS' 'AH'],Apartment,1,1,1,6000-8000,9000
807986724,['CS' 'RA' 'SA'],Apartment,1,1,1,8000-11000,12000
809952600,['BS' 'CS' 'SA'],Apartment,1,1,1,4000-6000,7000
567196103,['SA' 'MH' 'MS'],Apartment,1,1,1,8000-11000,12000
101595244,['BS' 'JS' 'NCA'],Apartment,1,1,1,6000-8000,9000
686765924,['TS' 'AH' 'BH'],Apartment,1,1,1,8000-11000,12000
291964555,['BS' 'WS' 'SA'],Traditional Residence Hall,1,1,1,6000-8000,9000
153048319,['NCA' 'MH' 'BS'],Apartment,1,1,1,8000-11000,12000
507273981,['JS' 'TS' 'SA'],Suite,1,1,1,4000-6000,7000
459705991,['MH' 'WS' 'SA'],Apartment,1,1,1,8000-11000,12000
645395989,['NCA' 'RA' 'BS'],Suite,1,1,1,8000-11000,12000
676110086,['BS' 'BH' 'SA'],Traditional Residence Hall,1,1,1,8000-11000,12000
242427871,['BS' 'CS' 'MS'],Apartment,1,1,1,6000-8000,9000
476960934,['MZH' 'MRS' 'BH'],Suite,1,1,1,6000-8000,9000
914449561,['MH' 'AH' 'MS'],Apartment,1,1,1,4000-6000,7000
315148848,['MS' 'BS' 'RA'],Traditional Residence Hall,1,1,1,8000-11000,12000
706471915,['BS' 'TS' 'MRS'],Suite,1,1,1,8000-11000,12000
306570025,['MRS' 'BS' 'MH'],Suite,1,1,1,8000-11000,12000
574155248,['JS' 'CS' 'TS'],Apartment,1,1,1,4000-6000,7000
766580233,['SA' 'BS' 'RA'],Apartment,1,1,1,8000-11000,12000
554593181,['BS' 'RA' 'TS'],Traditional Residence Hall,1,1,1,4000-6000,7000
658566707,['TS' 'BS' 'NCA'],Suite,1,1,1,8000-11000,12000
259584395,['AH' 'MS' 'SA'],Suite,1,1,1,8000-11000,12000
698068191,['BS' 'NCA' 'CS'],Suite,1,1,1,8000-11000,12000
410227529,['AH' 'MH' 'BS'],Apartment,1,1,1,8000-11000,12000
318329450,['MH' 'BS' 'WS'],Traditional Residence Hall,1,1,1,8000-11000,12000
469010661,['TS' 'AH' 'BS'],Suite,1,0,1,8000-11000,12000
725872116,['MS' 'NCA' 'AH'],Apartment,1,1,1,8000-11000,12000
526802782,['BS' 'MZH' 'NCA'],Suite,1,0,1,8000-11000,12000
177651709,['MRS' 'BS' 'MZH'],Apartment,1,1,1,8000-11000,12000
216339215,['BS' 'MZH' 'MS'],Suite,1,1,1,6000-8000,9000
757728169,['AH' 'RA' 'BS'],Suite,1,1,1,4000-6000,7000
160949178,['MH' 'BS' 'WS'],Apartment,1,1,1,8000-11000,12000
290395363,['TS' 'BS' 'RA'],Apartment,1,1,1,8000-11000,12000
710151196,['NCA' 'BS' 'MRS'],Apartment,1,1,1,6000-8000,9000
690662190,['RA' 'BH' 'BS'],Apartment,1,1,1,4000-6000,7000
306367088,['MS' 'CS' 'WS'],Traditional Residence Hall,1,1,1,8000-11000,12000
995831271,['TS' 'MS' 'RA'],Apartment,1,1,1,8000-11000,12000
832960197,['BS' 'WS' 'MZH'],Apartment,1,1,1,8000-11000,12000
919278169,['MH' 'MS' 'BS'],Apartment,1,1,1,8000-11000,12000
785123321,['NCA' 'MZH' 'BH'],Suite,1,1,1,8000-11000,12000
915671875,['SA' 'RA' 'AH'],Suite,1,0,1,4000-6000,7000
676330839,['MS' 'SA' 'BH'],Suite,1,0,1,8000-11000,12000
516748152,['BS' 'MS' 'NCA'],Suite,1,1,1,6000-8000,9000
577237134,['BH' 'BS' 'MRS'],Apartment,1,1,1,8000-11000,12000
607861853,['RA' 'NCA' 'MZH'],Apartment,1,1,1,8000-11000,12000
317503275,['SA' 'MS' 'RA'],Apartment,1,1,1,8000-11000,12000
142225583,['SA' 'BS' 'RA'],Apartment,1,1,1,8000-11000,12000
397044857,['NCA' 'MZH' 'SA'],Traditional Residence Hall,1,1,1,8000-11000,12000
824334567,['BS' 'NCA' 'MRS'],Suite,1,1,1,4000-6000,7000
768587812,['SA' 'CS' 'NCA'],Suite,1,1,1,8000-11000,12000
668853453,['SA' 'JS' 'RA'],Traditional Residence Hall,1,1,1,8000-11000,12000
975776390,['SA' 'WS' 'TS'],Suite,1,1,1,8000-11000,12000
384482777,['SA' 'AH' 'BS'],Suite,1,1,1,8000-11000,12000
922206514,['BS' 'AH' 'SA'],Apartment,1,0,1,4000-6000,7000
808913489,['MZH' 'JS' 'BS'],Apartment,1,1,1,8000-11000,12000
846929270,['MS' 'SA' 'BS'],Traditional Residence Hall,1,1,1,8000-11000,12000
598377926,['BS' 'MH' 'TS'],Suite,1,1,1,8000-11000,12000
452025352,['MRS' 'SA' 'RA'],Traditional Residence Hall,1,1,1,6000-8000,9000
252855799,['BS' 'NCA' 'SA'],Traditional Residence Hall,1,0,1,4000-6000,7000
239604896,['JS' 'BS' 'SA'],Suite,1,1,1,8000-11000,12000
770518641,['NCA' 'SA' 'BS'],Suite,1,1,1,8000-11000,12000
980347725,['CS' 'BS' 'RA'],Traditional Residence Hall,1,0,1,8000-11000,12000
550518808,['JS' 'WS' 'SA'],Apartment,1,1,1,8000-11000,12000
653682060,['BS' 'MS' 'BH'],Apartment,1,1,1,8000-11000,12000
960389658,['BS' 'NCA' 'TS'],Suite,1,1,0,4000-6000,7000
691500911,['AH' 'NCA' 'RA'],Suite,1,1,1,8000-11000,12000
685408734,['SA' 'MZH' 'MRS'],Suite,1,1,1,6000-8000,9000
726969449,['RA' 'SA' 'MRS'],Apartment,1,1,1,8000-11000,12000
506829005,['JS' 'MRS' 'NCA'],Traditional Residence Hall,1,1,1,8000-11000,12000
963244380,['AH' 'RA' 'NCA'],Apartment,1,1,0,8000-11000,12000
468528043,['SA' 'AH' 'WS'],Apartment,1,1,1,6000-8000,9000
135879146,['MS' 'BS' 'RA'],Suite,1,1,1,6000-8000,9000
532850723,['AH' 'NCA' 'WS'],Apartment,1,0,1,8000-11000,12000
961125703,['RA' 'SA' 'JS'],Suite,1,1,1,8000-11000,12000
187864478,['NCA' 'MZH' 'RA'],Suite,1,1,1,6000-8000,9000
781868527,['MZH' 'WS' 'RA'],Suite,1,1,1,4000-6000,7000
626761271,['JS' 'NCA' 'BS'],Traditional Residence Hall,1,1,1,4000-6000,7000
872639866,['BS' 'MZH' 'MH'],Suite,1,1,1,4000-6000,7000
669878820,['SA' 'CS' 'RA'],Apartment,1,1,1,8000-11000,12000
100400484,['JS' 'SA' 'WS'],Apartment,1,1,1,4000-6000,7000
728390370,['JS' 'BS' 'MH'],Traditional Residence Hall,1,1,1,8000-11000,12000
761590816,['NCA' 'MZH' 'BS'],Apartment,1,1,1,8000-11000,12000
414369746,['MH' 'BS' 'BH'],Suite,1,1,1,8000-11000,12000
371281525,['RA' 'WS' 'BS'],Apartment,1,1,1,4000-6000,7000
193314313,['NCA' 'MRS' 'BH'],Suite,1,1,1,8000-11000,12000
827793923,['BS' 'JS' 'NCA'],Apartment,1,1,1,6000-8000,9000
557251003,['SA' 'MH' 'MZH'],Traditional Residence Hall,1,1,1,6000-8000,9000
321454666,['SA' 'RA' 'CS'],Traditional Residence Hall,1,1,0,8000-11000,12000
759527312,['BS' 'NCA' 'CS'],Traditional Residence Hall,1,1,1,8000-11000,12000
734314101,['SA' 'NCA' 'RA'],Apartment,1,1,1,8000-11000,12000
946572139,['SA' 'BH' 'RA'],Apartment,1,1,1,6000-8000,9000
169792352,['MS' 'NCA' 'RA'],Apartment,1,1,1,4000-6000,7000
301433765,['SA' 'JS' 'BS'],Apartment,1,1,1,4000-6000,7000
516616662,['TS' 'SA' 'MS'],Suite,1,1,1,8000-11000,12000
925188523,['MH' 'SA' 'RA'],Suite,1,1,1,8000-11000,12000
788981710,['RA' 'AH' 'BS'],Suite,1,1,1,8000-11000,12000
588917951,['RA' 'NCA' 'TS'],Suite,1,1,1,8000-11000,12000
633280478,['MH' 'TS' 'NCA'],Suite,1,1,1,8000-11000,12000
454419636,['NCA' 'AH' 'TS'],Apartment,1,1,1,8000-11000,12000
284458084,['NCA' 'BS' 'RA'],Traditional Residence Hall,1,1,1,8000-11000,12000
673084536,['CS' 'NCA' 'MH'],Suite,1,1,1,8000-11000,12000
384946879,['BS' 'MH' 'RA'],Suite,1,1,1,6000-8000,9000
267843517,['TS' 'AH' 'NCA'],Apartment,1,0,0,8000-11000,12000
778694073,['BS' 'NCA' 'RA'],Suite,1,1,1,8000-11000,12000
524775539,['RA' 'BS' 'WS'],Suite,1,1,1,8000-11000,12000
181067699,['MS' 'RA' 'BS'],Traditional Residence Hall,1,1,0,8000-11000,12000
982211901,['RA' 'WS' 'JS'],Apartment,1,1,1,8000-11000,12000
131402808,['SA' 'RA' 'BS'],Traditional Residence Hall,1,1,1,8000-11000,12000
990100111,['NCA' 'MZH' 'MS'],Suite,1,1,1,4000-6000,7000
887022108,['BH' 'BS' 'NCA'],Suite,1,1,1,6000-8000,9000
744098382,['AH' 'RA' 'MRS'],Suite,1,1,1,8000-11000,12000
396290426,['BS' 'BH' 'MH'],Suite,1,1,1,6000-8000,9000
544265180,['SA' 'MZH' 'BS'],Apartment,1,1,1,8000-11000,12000
412115087,['JS' 'AH' 'TS'],Apartment,1,1,1,8000-11000,12000
141964928,['SA' 'RA' 'JS'],Traditional Residence Hall,1,0,1,8000-11000,12000
383851452,['SA' 'JS' 'RA'],Traditional Residence Hall,1,1,1,8000-11000,12000
602034606,['BS' 'RA' 'CS'],Suite,1,1,1,4000-6000,7000
690124743,['JS' 'SA' 'BS'],Suite,1,1,1,4000-6000,7000
422568261,['WS' 'JS' 'CS'],Apartment,1,1,1,8000-11000,12000
113105586,['MS' 'NCA' 'SA'],Traditional Residence Hall,1,1,1,8000-11000,12000
394615198,['MRS' 'SA' 'BH'],Suite,1,1,1,8000-11000,12000
235553690,['MS' 'BS' 'SA'],Apartment,1,1,1,8000-11000,12000
566267200,['WS' 'CS' 'AH'],Traditional Residence Hall,1,1,1,6000-8000,9000
354458979,['BS' 'SA' 'MS'],Suite,1,1,1,8000-11000,12000
780510111,['MZH' 'NCA' 'MS'],Apartment,1,1,1,6000-8000,9000
199127500,['BS' 'SA' 'RA'],Suite,1,1,1,8000-11000,12000
492132079,['BS' 'MRS' 'MS'],Traditional Residence Hall,1,1,1,6000-8000,9000
266938434,['MH' 'SA' 'RA'],Apartment,1,1,1,6000-8000,9000
821593101,['MS' 'AH' 'SA'],Suite,1,1,1,8000-11000,12000
797374124,['BH' 'SA' 'JS'],Suite,1,1,1,8000-11000,12000
157645797,['WS' 'AH' 'BS'],Suite,1,1,1,4000-6000,7000
479471840,['BS' 'MRS' 'RA'],Traditional Residence Hall,1,1,1,8000-11000,12000
224150192,['SA' 'MH' 'BS'],Apartment,1,1,1,6000-8000,9000
212322652,['BS' 'MRS' 'NCA'],Apartment,1,1,1,6000-8000,9000
663733156,['SA' 'MH' 'JS'],Suite,1,1,1,8000-11000,12000
399136556,['RA' 'NCA' 'MZH'],Suite,1,1,1,4000-6000,7000
464603679,['NCA' 'RA' 'SA'],Apartment,1,1,1,6000-8000,9000
644405134,['NCA' 'BS' 'RA'],Suite,1,1,1,8000-11000,12000
701655681,['BS' 'WS' 'SA'],Suite,1,1,1,8000-11000,12000
805085984,['AH' 'SA' 'RA'],Apartment,1,1,1,8000-11000,12000
527420905,['BS' 'SA' 'BH'],Traditional Residence Hall,1,1,1,8000-11000,12000
387304693,['BH' 'JS' 'BS'],Suite,1,1,1,4000-6000,7000
106172154,['SA' 'MS' 'JS'],Suite,1,1,1,4000-6000,7000
717105065,['BS' 'SA' 'MH'],Apartment,1,1,1,4000-6000,7000
867971029,['WS' 'TS' 'RA'],Traditional Residence Hall,1,1,1,4000-6000,7000
225283629,['JS' 'BS' 'MS'],Suite,1,1,1,8000-11000,12000
750011011,['AH' 'SA' 'NCA'],Apartment,1,1,1,6000-8000,9000
579038955,['RA' 'NCA' 'SA'],Apartment,1,1,1,8000-11000,12000
236643966,['AH' 'CS' 'BS'],Suite,1,1,1,4000-6000,7000
482683839,['BH' 'CS' 'SA'],Suite,1,1,1,8000-11000,12000
406864414,['SA' 'MS' 'NCA'],Apartment,1,1,1,6000-8000,9000
540000919,['BS' 'JS' 'MS'],Traditional Residence Hall,1,1,1,6000-8000,9000
797865371,['WS' 'BS' 'MH'],Apartment,1,1,1,4000-6000,7000
384510167,['BS' 'NCA' 'CS'],Traditional Residence Hall,1,1,1,8000-11000,12000
252342763,['SA' 'MS' 'BS'],Apartment,1,1,1,4000-6000,7000
600891458,['BS' 'SA' 'MZH'],Suite,1,1,1,8000-11000,12000
683892299,['BS' 'MS' 'BH'],Apartment,1,1,1,8000-11000,12000
170671663,['SA' 'WS' 'MH'],Suite,1,0,1,4000-6000,7000
325103181,['MS' 'SA' 'BS'],Suite,1,1,1,4000-6000,7000
353352974,['BS' 'MH' 'MS'],Apartment,1,1,1,6000-8000,9000
506721930,['NCA' 'RA' 'TS'],Traditional Residence Hall,1,1,1,8000-11000,12000
235616849,['NCA' 'TS' 'BS'],Suite,1,1,1,6000-8000,9000
228491497,['RA' 'SA' 'TS'],Suite,1,1,1,8000-11000,12000
525392600,['NCA' 'RA' 'SA'],Suite,1,1,1,6000-8000,9000
726474532,['TS' 'MS' 'MZH'],Suite,1,1,1,4000-6000,7000
257761110,['CS' 'BH' 'NCA'],Apartment,1,1,1,4000-6000,7000
948655425,['BH' 'MH' 'RA'],Suite,1,1,1,8000-11000,12000
871234867,['SA' 'BS' 'MH'],Traditional Residence Hall,1,1,1,8000-11000,12000
213520657,['MH' 'JS' 'BS'],Apartment,1,1,1,8000-11000,12000
941278799,['BS' 'CS' 'MZH'],Traditional Residence Hall,1,1,1,8000-11000,12000
875603300,['CS' 'MS' 'BS'],Suite,1,1,1,4000-6000,7000
570695388,['BS' 'RA' 'NCA'],Apartment,1,0,1,8000-11000,12000
743224010,['RA' 'SA' 'BS'],Suite,1,0,1,6000-8000,9000
728695622,['AH' 'MH' 'TS'],Suite,1,1,1,8000-11000,12000
813246931,['BS' 'MZH' 'NCA'],Traditional Residence Hall,1,1,1,8000-11000,12000
716421014,['MRS' 'SA' 'BS'],Apartment,1,1,1,8000-11000,12000
532792264,['BS' 'JS' 'SA'],Suite,1,1,0,8000-11000,12000
886121930,['SA' 'RA' 'JS'],Suite,1,1,1,8000-11000,12000
218966406,['MZH' 'MRS' 'SA'],Apartment,1,1,1,6000-8000,9000
766181823,['MS' 'SA' 'NCA'],Apartment,1,0,1,8000-11000,12000
486534700,['TS' 'NCA' 'AH'],Traditional Residence Hall,1,1,1,8000-11000,12000
654909799,['WS' 'BS' 'MH'],Suite,1,1,1,4000-6000,7000
396404010,['RA' 'SA' 'NCA'],Suite,1,1,1,8000-11000,12000
336145831,['MH' 'RA' 'NCA'],Suite,1,1,1,6000-8000,9000
963894960,['TS' 'MS' 'CS'],Suite,1,1,1,8000-11000,12000
344499048,['AH' 'NCA' 'TS'],Apartment,1,1,1,4000-6000,7000
819304905,['BS' 'MS' 'MZH'],Suite,1,1,1,4000-6000,7000
767181801,['BS' 'MZH' 'NCA'],Apartment,1,1,1,6000-8000,9000
343461147,['RA' 'CS' 'NCA'],Apartment,1,1,1,8000-11000,12000
490065426,['BS' 'BH' 'SA'],Suite,1,1,1,6000-8000,9000
511992348,['NCA' 'BH' 'MRS'],Suite,1,1,1,4000-6000,7000
772041761,['MRS' 'AH' 'WS'],Apartment,1,1,1,4000-6000,7000
678617563,['BS' 'TS' 'NCA'],Suite,1,1,0,6000-8000,9000
532025803,['NCA' 'TS' 'MS'],Apartment,1,1,1,4000-6000,7000
983324792,['MS' 'SA' 'AH'],Traditional Residence Hall,1,1,1,8000-11000,12000
350137183,['SA' 'BS' 'MRS'],Suite,1,1,1,8000-11000,12000
892634642,['MZH' 'MH' 'RA'],Suite,1,1,1,8000-11000,12000
702504260,['BS' 'JS' 'SA'],Apartment,1,1,1,8000-11000,12000
801087003,['MH' 'BS' 'BH'],Apartment,1,1,1,6000-8000,9000
708673954,['TS' 'NCA' 'MH'],Suite,1,1,1,8000-11000,12000
403429268,['BH' 'CS' 'SA'],Traditional Residence Hall,1,1,1,8000-11000,12000
521566521,['MZH' 'MS' 'RA'],Suite,1,1,1,8000-11000,12000
434863481,['CS' 'MRS' 'JS'],Suite,1,1,1,4000-6000,7000
285253544,['RA' 'SA' 'NCA'],Apartment,1,1,1,8000-11000,12000
956668962,['NCA' 'MH' 'RA'],Suite,1,1,1,4000-6000,7000
782533865,['MZH' 'BS' 'MRS'],Traditional Residence Hall,1,0,1,8000-11000,12000
571978108,['RA' 'WS' 'NCA'],Traditional Residence Hall,1,1,1,8000-11000,12000
115863810,['SA' 'NCA' 'MH'],Suite,1,1,1,4000-6000,7000
885513847,['BH' 'NCA' 'BS'],Apartment,1,1,1,6000-8000,9000
612624689,['BS' 'MS' 'MRS'],Apartment,1,0,1,6000-8000,9000
161068574,['MS' 'BS' 'MH'],Suite,1,1,1,8000-11000,12000
960954934,['NCA' 'RA' 'MRS'],Apartment,1,1,1,8000-11000,12000
512688886,['CS' 'BH' 'MS'],Traditional Residence Hall,1,1,1,6000-8000,9000
421689395,['RA' 'NCA' 'TS'],Suite,1,1,1,6000-8000,9000
839063024,['BS' 'MH' 'NCA'],Suite,1,1,1,4000-6000,7000
292234420,['NCA' 'BS' 'SA'],Apartment,1,1,1,8000-11000,12000
852163813,['TS' 'MS' 'RA'],Suite,1,1,1,6000-8000,9000
736918031,['MH' 'NCA' 'RA'],Suite,1,0,1,8000-11000,12000
953331564,['CS' 'MS' 'MZH'],Suite,1,1,1,6000-8000,9000
690231685,['NCA' 'BS' 'SA'],Suite,1,1,1,8000-11000,12000
589745250,['BS' 'BH' 'JS'],Apartment,1,1,1,8000-11000,12000
927926843,['BS' 'CS' 'MRS'],Traditional Residence Hall,1,1,1,8000-11000,12000
805307295,['MS' 'NCA' 'AH'],Apartment,1,1,1,8000-11000,12000
112256088,['CS' 'WS' 'NCA'],Suite,1,0,1,6000-8000,9000
810792981,['WS' 'MH' 'NCA'],Apartment,1,1,1,6000-8000,9000
617294674,['NCA' 'CS' 'RA'],Traditional Residence Hall,1,1,1,8000-11000,12000
636940885,['BS' 'SA' 'NCA'],Suite,1,1,1,8000-11000,12000
772159205,['RA' 'NCA' 'MH'],Suite,1,1,1,4000-6000,7000
146789310,['SA' 'RA' 'AH'],Apartment,1,1,1,8000-11000,12000
797407590,['RA' 'AH' 'MZH'],Apartment,1,1,1,8000-11000,12000
186987850,['SA' 'BS' 'NCA'],Traditional Residence Hall,1,1,1,8000-11000,12000
324630388,['BS' 'AH' 'RA'],Traditional Residence Hall,1,1,1,4000-6000,7000
745153269,['BS' 'MRS' 'SA'],Traditional Residence Hall,1,1,1,8000-11000,12000
877857792,['BH' 'RA' 'NCA'],Suite,1,1,1,8000-11000,12000
900043843,['BS' 'BH' 'RA'],Suite,1,1,1,6000-8000,9000
196979851,['SA' 'TS' 'BS'],Suite,1,1,1,4000-6000,7000
553549879,['BS' 'RA' 'MRS'],Apartment,1,1,1,8000-11000,12000
846875439,['BS' 'SA' 'RA'],Apartment,1,1,1,8000-11000,12000
205983608,['SA' 'CS' 'MZH'],Traditional Residence Hall,1,1,1,8000-11000,12000
376370865,['SA' 'CS' 'MS'],Suite,1,1,1,8000-11000,12000
833065724,['SA' 'MS' 'BS'],Apartment,1,1,1,8000-11000,12000
137267055,['MZH' 'MS' 'SA'],Apartment,1,1,0,8000-11000,12000
923797153,['BS' 'BH' 'MS'],Suite,1,1,1,4000-6000,7000
714709006,['RA' 'SA' 'MZH'],Suite,1,1,1,6000-8000,9000
461424744,['SA' 'BS' 'MH'],Suite,1,1,1,4000-6000,7000
351342283,['RA' 'NCA' 'MH'],Suite,1,1,1,8000-11000,12000
592113237,['NCA' 'RA' 'BS'],Traditional Residence Hall,1,1,1,8000-11000,12000
354769745,['MZH' 'RA' 'AH'],Apartment,1,1,1,8000-11000,12000
239466557,['MRS' 'BS' 'TS'],Suite,1,1,1,6000-8000,9000
486767215,['SA' 'BS' 'RA'],Traditional Residence Hall,1,1,1,8000-11000,12000
585357157,['RA' 'BS' 'SA'],Apartment,1,1,1,4000-6000,7000
507645757,['BS' 'RA' 'MRS'],Apartment,1,1,1,8000-11000,12000
756625787,['NCA' 'MS' 'SA'],Suite,1,1,0,4000-6000,7000
794916999,['BS' 'RA' 'BH'],Suite,1,1,1,4000-6000,7000
509388283,['SA' 'NCA' 'BS'],Suite,1,1,1,8000-11000,12000
887272170,['BS' 'SA' 'RA'],Apartment,1,1,1,4000-6000,7000
710652788,['SA' 'RA' 'WS'],Apartment,1,1,0,8000-11000,12000
322352291,['NCA' 'BS' 'TS'],Apartment,1,1,1,8000-11000,12000
822832909,['SA' 'NCA' 'MH'],Traditional Residence Hall,1,0,1,8000-11000,12000
140901548,['MZH' 'BS' 'MH'],Suite,1,1,1,8000-11000,12000
151482058,['RA' 'SA' 'BS'],Traditional Residence Hall,1,1,1,4000-6000,7000
662405082,['AH' 'WS' 'BH'],Traditional Residence Hall,1,1,1,6000-8000,9000
486682120,['BS' 'NCA' 'AH'],Suite,1,0,1,8000-11000,12000
